ZCR,Energy,Spectral_centroid,Spectral_spread,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC5,MFCC6,MFCC7,Chroma_vector11,Class
0.0819,0.0155,0.144,0.101,0.152,-35.2,-3.37,1.73,-0.49,0.642,-0.352,8.16E-05,Cry
0.105,0.0623,0.134,0.0954,0.157,-32.7,-1.96,1.48,-0.188,0.435,-0.273,0.000178,Cry
0.0732,0.0152,0.111,0.107,0.0853,-32.5,-3.56,1.69,-0.979,0.877,-0.256,7.33E-05,Cry
0.0797,0.00548,0.128,0.115,0.0957,-33.4,-3.53,1.71,-0.614,0.489,-0.0416,0.000145,Cry
0.133,0.0299,0.158,0.0899,0.175,-32.4,-2.39,1.28,-0.583,0.697,-0.439,3.6E-05,Cry
0.117,0.0347,0.162,0.088,0.185,-33.8,-1.92,1.18,-0.298,0.576,-0.516,1.89E-05,Cry
0.113,0.00594,0.151,0.109,0.173,-35.3,-3.02,1.86,-0.211,0.421,-0.32,1.61E-05,Cry
0.0376,0.00551,0.272,0.151,0.429,-29,-0.396,-1.4,-0.378,-0.298,0.174,6.82E-06,Cry
0.139,0.0368,0.221,0.166,0.383,-26.6,-0.23,-1.87,-0.0339,-0.28,0.241,2.14E-05,Cry
0.159,0.0295,0.24,0.164,0.41,-26.6,-0.21,-1.91,-0.0598,-0.21,0.23,1.16E-05,Cry
0.151,0.0395,0.229,0.164,0.394,-26.8,-0.231,-1.65,-0.125,-0.221,0.242,1.93E-05,Cry
0.155,0.0336,0.234,0.166,0.404,-26.6,-0.275,-1.79,-0.0458,-0.303,0.143,2.89E-05,Cry
0.156,0.0359,0.23,0.165,0.398,-26.6,-0.265,-1.82,-0.0623,-0.252,0.341,3.42E-05,Cry
0.124,0.0319,0.196,0.157,0.273,-26.5,-0.246,-1.85,-0.0865,-0.314,0.246,3.18E-05,Cry
0.137,0.0369,0.221,0.167,0.382,-26.6,-0.235,-1.88,-0.0366,-0.29,0.255,2.29E-05,Cry
0.158,0.0299,0.24,0.164,0.409,-26.6,-0.2,-1.9,-0.0786,-0.219,0.215,1.22E-05,Cry
